youtube_name,twitter_handle,followers,user_id
Chloe Ting,,42,18828979
MadFit,,6214,32075776
BullyJuice,,120,183098759
Jesse James West,,25,22794405
emi wong,,3,22086640
Lilly Sabri,,11633,1158458503
Workout 4D,,90,911261875576467456
Will Tennyson,,30,57137419
Juned Fitness,,2,1641868273905201152
Caroline Girvan,,8219,1272587816430600193
Zumba Class,,0,128861796
Desi Gym Fitness,,0,1657999928784990209
MIZI,,5878,12261982
GunjanShouts,,1198,4851028698
NL Fitness,,2,20671127
ABHINAV MAHAJAN,,0,91817019
HASfit,,12,186994515
DanceWithDeepti,,34,1270099525999476736
Saket Gokhale,,284665,24857905
FitMuscle TV,,2914,868705351800995840
Cricket Cardio,,267,1536230191424360448
Eva Fitness,,2,746326474236506112
BurpeeGirl,,9,842872122
Anmol Chaudhary,,1,77033532
WearTesters,,16712,283769757
Abhishek Yadav,,149,41528317
ZTH Training,,185,1316079177959841794
Brad Hall,,567,10084782
fitgirl,,467,11758842
Gennofit,,27,1925261249865977856
PCOS Weight Loss,,13,431649007
Taichi Workout,,1,1569996499471433729
Cricket Galaxy,,44,3706154302
Taarzan Academy,,49,798134326886072320
The Run Testers,,327,1232363641808261120
Deon,,2436,77975760
rohitnikhil,,3,299512511
Namrata Purohit,,9711,560084912
The Shivaay,,12,764302078122479616
Cheer Shopping,,66,535405132
Simrun Chopra,,152,44090111
Matrix Fitness,,59,67359529
Rajan Sharma,,8,14582705
Sports Baazar,,0,1618995392850583552
Kunal Chhabra,,0,31371814
Alastair Running,,1265,738465872176664578
Tanisha,,137,12324552
VIVA FITNESS,,554,70325805
Neera Fitness,,60,909745370044887040
Best Shoes Review,,23,1358503491560345600
Foothunk,,2,1268123469402832896
Running Shoe Guy,,747,282451282
Indian Fitness,,4,3219750727
UFC GYM India,,165,746080075293016066
Sports Rocket,,930,273962841
yoga fitness,,22,1165015338
Dgsportindia,,0,993052415871012865
Indian fitness,,4,3219750727
INDIAN FITNESS,,4,3219750727
