video_id,channel_id,title,description,published_at,thumbnail,views,likes,comments,duration,scraped_by,tags,date,hour,day_of_week
aQJGFf9Y4Bo,UCOpsZxrmeDARilha1uq4slA,The Heather Robertson Fitness Web App!!!,"Ready to take it to the next level? The new HR experience is here! 
Learn more about the web app and get started for free at https://www.heatherrobertson.com. 
Access from any device - no downloads required 

❤ Heather
#strongertogether",2025-09-22 14:22:00+00:00,https://i.ytimg.com/vi/aQJGFf9Y4Bo/default.jpg,166598,2485,431,PT45S,laptop1,,2025-09-22,14,Monday
1VTFSm2TSN4,UCha40FqtkeCmkx4FD1r5kSg,A de ja vu workout with a weak body ,,2025-09-22 17:17:36+00:00,https://i.ytimg.com/vi/1VTFSm2TSN4/default.jpg,77,2,0,PT5M17S,laptop1,,2025-09-22,17,Monday
QNWn9w0iEJI,UCWIpWW2Ch-VvtpzwWiqRQKg,2023 to translation to 2025 ..#motivation #freindshipbreakup #funny #love #attitude #lifestyle,,2025-09-24 04:03:19+00:00,https://i.ytimg.com/vi/QNWn9w0iEJI/default.jpg,92,4,0,PT12S,laptop2,,2025-09-24,4,Wednesday
wj1yuKbJvg4,UCGht9R8MRmpMeqP0xEynMIw,Boxing drills #boxing  #strong #speed,,2025-09-24 06:15:03+00:00,https://i.ytimg.com/vi/wj1yuKbJvg4/default.jpg,1196,23,0,PT24S,laptop2,,2025-09-24,6,Wednesday
Fl-nBwBjxFw,UC7HXnpRVeuCh-Q0HNyIOLag,Desi Fitness workout Gym ||#desi #fitness #gym #trending #shorts #viral #workout #youtubeshorts,Desi Fitness workout Gym ||#desi #fitness #gym #trending #shorts #viral #workout #youtubeshorts,2025-09-26 13:00:26+00:00,https://i.ytimg.com/vi/Fl-nBwBjxFw/default.jpg,1333,0,0,PT13S,laptop1,,2025-09-26,13,Friday
x68BsiN5Lzs,UCIPUOi-OIqLFjopXi3nhtOg,"20 MIN WEIGHTED ABS WORKOUT - Intense, No Repeats , Follow Along","🔥 Try my Online Workout Studio for more workouts & challenges
👉 7 Day Free Trial - https://www.skool.com/train-like-a-warrior

Welcome to this 20 Minute Weighted Core Workout! In this follow-along routine, we’ll use a single dumbbell or weighted plate to target every part of your abs and core — building strength, stability, and definition. Perfect for at home or the gym.

💪 What you’ll need:

(choose a weight that challenges you but allows good form)

A mat or comfortable space

⚡ Benefits of this workout:

Strengthens your abs and obliques

Improves core stability and posture

Builds functional strength for everyday movement

Helps you develop a solid, defined midsection

👉 Do this workout 2–3 times per week for best results, and combine it with full-body strength training + proper nutrition for maximum transformation.

⏱ Workout Format (20 minutes):

45s work / 15s rest (or adjust as needed)

20 no repeat exercises

Follow along and push yourself!

✅ Don’t forget to like, comment, and subscribe for more follow-along workouts every week!

#coreworkout #weightedabs #homeworkout #dumbbellworkout #fitness",2025-09-28 13:51:06+00:00,https://i.ytimg.com/vi/x68BsiN5Lzs/default.jpg,457,26,7,PT21M34S,laptop2,"20 minute weighted core workout,weighted ab workout,dumbbell core workout,core workout at home,ab workout with weights,dumbbell ab workout,20 min ab workout,weighted core routine,home ab workout,dumbbell workout at home,abs workout with dumbbell,core workout for strength,weighted abs routine,20 minute abs workout,no sit ups ab workout,core workout dumbbell,follow along ab workout,strong core workout,build abs at home,dumbbell abs,follow along core",2025-09-28,13,Sunday
AMPFJDldjqE,UCIPUOi-OIqLFjopXi3nhtOg,🔥Torch 300+ Calories in 20 Minutes | No Repeat Dumbbell Workout,"🔥 Ready to torch 300+ calories in just 20 minutes? This no repeat dumbbell workout is designed to build strength, improve muscular endurance, and help you burn serious fat — all in one efficient session.

💪 What to Expect:

20 minutes of full-body dumbbell strength training
No repeat format (new exercise every set) → no boredom, nonstop results
Strength + endurance combo for max calorie burn
Works at home or in the gym

👉 All you need:

A pair of dumbbells (choose a weight that challenges you)
A mat or comfortable space
20 minutes of focus and effort!

⚔️Workout Details
▸ Strength & Muscular Endurance 
▸ 45sec on | 15 secs off
▸ 20Exercises 
▸ Time: 20 mins 
▸ Dumbbells/Kettlebell 
▸ 10-20+ Rep Range

The Exercises:

2 Bent Over Rows Into 2 Shoulder Press 
Suitcase Squats
Crunches 
Front Raises 
Front Lunges
Heel Taps 
Push Ups
Snatches 1 Arm 
Snatches 1 Arm
Leg Raises
Sumo Deadlifts
Chest Flys
Reversed Lunges 
Plank Hold 
Pull-Overs 
Cross Body Curls
Sumo Pulse Squats
Side Raises
Flutter Kicks
Tricep Extensions

⚡ Benefits of this workout:

Burn 300+ calories in 20 minutes
Build lean muscle & total body strength
Boost endurance and conditioning
Improve metabolism and fat loss

Train anywhere, no excuses

✅ Smash that LIKE button if you finished the workout!
💬 Drop a comment with how many calories you burned (if you tracked it).
🔔 Don’t forget to SUBSCRIBE for more dumbbell workouts every week.

📲 Want full programs and transformation challenges you can do anywhere? Join my Online Workout Studio Community here with a 7 day free trial: 
https://www.skool.com/train-like-a-warrior

#dumbbellworkout #strengthtraining #calorieburn #homeworkout",2025-09-29 11:42:55+00:00,https://i.ytimg.com/vi/AMPFJDldjqE/default.jpg,646,45,11,PT23M10S,laptop2,"20 minute dumbbell workout,no repeat dumbbell workout,burn 300 calories workout,dumbbell calorie burn,full body dumbbell workout,strength and endurance dumbbell workout,home dumbbell workout,20 minute strength training,calorie burning dumbbell workout,torch fat workout,dumbbell HIIT workout,no repeat strength workout,fat loss dumbbell workout,burn calories fast workout,full body strength and endurance,20 min dumbbell workout",2025-09-29,11,Monday
Rf14Ti97Aak,UCTLep9APyOLL2X7N10IR0Pg,"Anta PG7 Ultra or G21 4, Premium on a Budget? #antashoes #Anta #budgetshoes #dailytrainer #shorts","Is the Anta PG7 Ultra the budget running shoe you’ve been waiting for?

🎵 Music Attribution
Music by https://www.bensound.com
License code: XZ0GSBM4KA49LKGR
Artist: : Benjamin Tissot

⚠️ Disclaimer

I’m not affiliated with Anta or any store in the making of this video. I bought the PG7 Ultra myself and I’m not making money just to make this video. If a shoe’s good, I’ll say it’s good. If it’s bad, I’ll say that too. I don’t push shoes to earn through affiliate links or get kickbacks. Even if I do receive products or links in the future, I’ll still be honest.",2025-09-30 04:30:05+00:00,https://i.ytimg.com/vi/Rf14Ti97Aak/default.jpg,2646,36,6,PT1M30S,laptop2,"cushioned daily trainer,affordable running shoes,Lining Yueying 5 Pro,Lining Yueying 5,Hoka Clifton,Asics Superblast,New Balance 1080 v14,Asics Gel Nimbus,Anta Pg7 Plus,Versatile Running Shoe,Nike Vomero 18 Plus,Qiaodan Wind 3 TR,Qiaodan Tg 1.0,Qiaodan LH Max,Anta Travel PG7 2,Max Cushion,Stability Shoe,361 Fierce Max,361 Degrees,budget daily trainer,Lining Yueying 4 Pro,Peak Up30 4.0,Anta Travel Pg7,Anta Pg7 Ultra,Review,Asics Novablast 5",2025-09-30,4,Tuesday
kjohXenaiOw,UCTLep9APyOLL2X7N10IR0Pg,"Marathon Block Trainer? Peak UP30 4.0 | Best Budget Marathon Trainer, Final Review","After my inital impressions, this is my final review. Been using this in a lot of my runs during my peak marathon training block. The Peak UP30 4.0 is clearly built for it. Durable, light, cushioned and assistive enough for those long sessions. It’s softer than my first impressions suggested, a bit more mellow, but still best as a cushioned marathon pace or steady long run trainer. If you’re considering it for daily easy mileage, it may not be the best fit, but for sustained efforts, it delivers.

In this follow-up, I share how it feels after breaking in, what’s changed since my first impressions, and who this shoe is really for. Spoiler: It's good for a race - if you're targeting sub 5 or 4:30.

🎵 Music attribution:
Music from (free for Creators!):
https://uppbeat.io/t/tatami/its-all-good
License code: IUKS1EJEX1SLX3YE

⚠️ Disclaimer:
I bought the Peak UP30 4.0 myself. This isn’t a sponsored video. I don’t use affiliate links or get paid to say good things to sell this to you. If it’s good, I’ll say so. If it’s not, I’ll say that too. I never say multiple times the words ""honest review"" in my videos... there's no need to. I just do my best to describe my experience.

#RunningShoes #MarathonTraining #PeakUp30 #chineserunningshoes",2025-10-02 09:22:58+00:00,https://i.ytimg.com/vi/kjohXenaiOw/default.jpg,3296,59,45,PT10M36S,laptop2,"UP30 4.0,Peak shoes,marathon trainer,budget trainer,daily trainer,long run shoe,training shoe,cheap running shoe,budget marathon trainer,cheap marathon running shoe,affordable long run shoe,training shoes for marathon,Asics Superblast Alternative,Hoka Skyward x,Anta C202 HP,Lining Yueying 4 Pro,Cheap Racing Shoe,Peak Sports,Up30 3.0 Elite,Lining Yueying 5 Pro,Anta C202 6,super shoe,super trainer,cheap cushioned running shoe,sub 5 marathon shoe",2025-10-02,9,Thursday
xCY0nJlD_Gw,UCqymFLhk2ggLGu16GD0yDZA,CoreFit Guided Walking Audio,"This is one of the workouts you’ll get with LeanWalk… and it’s a game-changer.... the 20/20 Combo CoreFit Workout. We’ll start with 20 minutes of what I call a core walk. Every three minutes, we’ll pause for a one-minute standing move to fire up your midsection. Then, when we hit the halfway mark, I’ll cue you to turn around and head back, picking up the pace as the music drives you forward. I’ll coach you through proper technique, rate of perceived exertion, and how to use the beat to stay motivated. 


After that, we’ll head to the floor for 20 minutes of total-body strength moves using just dumbbells and a chair. Expect squats, presses, and core-sculpting exercises that reshape your entire body.",2025-10-02 18:06:22+00:00,https://i.ytimg.com/vi/xCY0nJlD_Gw/default.jpg,594,13,1,PT44M44S,laptop2,,2025-10-02,18,Thursday
